id,predicted
268243,95 101 83 92 93
268244,255 400 257 144 755
268245,587 384 325 790 885
268246,464 293 470 466 86
268247,17 36 61 57 922
268248,57 61 80 83 64
268249,362 937 906 536 517
268250,805 824 969 520 960
268251,464 1008 966 466 109
268252,336 337 673 746 485
268253,883 565 492 371 746
268254,933 17 922 20 988
268255,57 28 39 61 36
268256,162 165 196 188 192
268257,61 64 14 20 800
268258,84 86 95 94 99
268259,1004 325 990 962 717
268260,83 101 93 95 96
268261,619 517 623 371 290
268262,76 71 765 775 371
268263,753 295 383 518 538
268264,885 329 336 648 446
268265,638 873 673 634 660
268266,269 904 447 396 914
268267,216 250 247 242 214
268268,398 580 3 271 800
268269,872 632 829 350 428
268270,885 329 558 271 560
268271,36 28 51 39 42
268272,88 99 86 94 92
268273,73 83 77 116 71
268274,962 703 559 446 610
268275,14 16 17 955 678
268276,258 259 264 152 184
268277,39 51 38 28 30
268278,565 492 883 890 371
268279,827 724 720 493 718
268280,57 61 80 159 83
268281,398 344 788 79 917
268282,212 206 204 210 262
268283,176 165 162 168 192
268284,3 800 398 77 73
268285,397 802 428 872 427
268286,685 277 686 893 594
268287,840 890 396 620 557
268288,678 594 446 698 666
268289,136 129 174 163 177
268290,17 977 73 800 955
268291,937 906 593 517 887
268292,720 315 969 383 51
268293,840 348 362 357 848
268294,711 755 722 17 400
268295,922 911 1001 17 20
268296,277 269 904 906 909
268297,289 411 311 678 234
268298,887 594 610 493 540
268299,277 269 904 909 914
268300,222 256 101 200 92
268301,593 848 824 383 134
268302,333 289 500 156 522
268303,962 559 883 698 610
268304,261 260 263 257 264
268305,673 9 638 1008 630
268306,107 102 112 106 490
268307,720 293 384 301 824
268308,17 962 36 759 808
268309,488 490 482 491 483
268310,384 315 746 383 668
268311,260 254 296 925 264
268312,61 57 655 83 64
268313,824 593 447 398 818
268314,824 815 447 816 818
268315,57 61 655 80 64
268316,643 632 660 630 350
268317,1005 984 668 634 990
268318,206 208 198 201 209
268319,906 455 887 937 17
268320,400 533 522 502 753
268321,759 696 502 355 856
268322,118 485 1004 493 114
268323,493 540 724 534 485
268324,447 455 917 818 344
268325,17 61 64 322 755
268326,159 143 148 80 151
268327,623 872 428 442 620
268328,597 914 687 802 593
268329,428 429 680 397 442
268330,975 482 491 972 978
268331,206 210 213 197 212
268332,162 165 168 188 176
268333,455 1 128 129 126
268334,464 470 491 466 783
268335,917 920 447 818 916
268336,180 188 193 162 196
268337,114 109 125 800 71
268338,904 269 914 277 909
268339,216 198 214 243 208
268340,249 250 247 217 243
268341,840 442 848 357 436
268342,117 112 109 107 134
268343,224 95 137 208 138
268344,161 201 159 148 470
268345,61 57 80 159 73
268346,668 630 638 351 632
268347,840 357 848 436 557
268348,559 887 885 446 962
268349,234 678 686 245 685
268350,906 17 888 36 429
268351,904 909 447 840 914
268352,315 883 839 492 890
268353,491 224 975 464 480
268354,51 520 42 39 720
268355,348 442 136 668 587
268356,17 20 955 57 64
268357,978 979 539 335 753
268358,234 245 200 222 178
268359,94 137 83 92 93
268360,724 540 534 883 790
268361,848 937 362 857 593
268362,144 137 138 148 254
268363,95 98 86 97 82
268364,560 885 698 128 559
268365,134 111 45 178 145
268366,755 333 722 711 500
268367,790 493 724 466 824
268368,400 411 533 893 522
268369,36 464 455 813 61
268370,398 355 362 492 925
268371,975 1001 990 476 984
268372,753 301 532 531 518
268373,20 17 933 911 988
268374,917 447 920 924 916
268375,906 562 536 398 937
268376,17 808 922 933 20
268377,373 371 800 743 271
268378,38 17 800 805 872
268379,107 109 102 117 84
268380,517 580 558 897 941
268381,258 990 668 1005 984
268382,117 107 109 106 74
268383,236 239 230 216 247
268384,250 247 243 249 145
268385,532 743 466 107 109
268386,61 57 73 80 159
268387,61 57 80 159 83
268388,532 470 1008 1006 109
268389,783 464 827 790 922
268390,464 134 783 466 455
268391,885 446 887 962 271
268392,57 61 64 14 655
268393,236 230 223 239 229
268394,428 442 857 872 860
268395,76 893 969 960 245
268396,805 753 824 969 383
268397,775 893 704 623 768
268398,10 485 746 518 738
268399,534 493 790 724 540
268400,587 559 885 325 446
268401,178 234 99 88 95
268402,411 277 502 400 533
268403,250 247 243 217 220
268404,990 1004 975 1005 634
268405,371 765 290 364 373
268406,277 906 269 904 909
268407,411 755 311 289 400
268408,808 174 163 400 517
268409,192 188 176 168 162
268410,990 1004 1001 1005 984
268411,255 261 262 257 260
268412,293 301 720 718 724
268413,28 38 39 36 846
268414,885 271 887 580 1006
268415,969 960 565 759 522
268416,128 433 467 766 493
268417,755 433 411 766 467
268418,158 83 873 181 162
268419,145 250 217 247 249
268420,61 57 80 159 83
268421,558 273 559 282 271
268422,315 720 447 805 960
268423,355 631 1001 984 476
268424,180 188 162 193 165
268425,533 400 289 522 371
268426,988 911 933 966 922
268427,39 38 805 969 808
268428,447 315 383 720 824
268429,808 813 770 580 510
268430,17 36 955 61 73
268431,249 241 447 759 227
268432,1005 1004 128 258 668
268433,906 815 593 562 597
268434,502 522 400 533 969
268435,51 520 536 531 39
268436,534 717 790 493 715
268437,51 42 39 520 969
268438,978 975 482 972 491
268439,885 962 1008 446 355
268440,541 537 295 518 296
268441,220 217 230 247 249
268442,1008 1006 9 738 11
268443,1008 885 1006 496 539
268444,1008 966 1006 114 77
268445,962 929 610 457 703
268446,520 540 446 542 325
268447,250 247 243 249 217
268448,20 57 17 14 64
268449,540 493 496 962 420
268450,753 520 531 542 960
268451,400 533 522 711 678
268452,262 255 254 259 257
268453,502 753 531 258 520
268454,666 200 678 234 766
268455,64 30 39 446 17
268456,720 315 301 293 827
268457,580 1006 630 249 470
268458,80 57 73 61 74
268459,277 593 802 619 594
268460,84 86 464 93 94
268461,531 38 36 51 30
268462,536 562 632 428 872
268463,643 872 348 632 355
268464,145 134 45 466 488
268465,559 887 885 271 370
268466,801 398 849 813 51
268467,557 620 909 904 269
268468,466 464 790 491 488
268469,378 533 653 500 277
268470,536 537 77 531 74
268471,470 398 476 468 460
268472,883 373 371 702 542
268473,883 447 703 724 687
268474,906 362 429 909 269
268475,269 277 909 904 536
268476,893 1006 1008 897 336
268477,348 632 362 653 643
268478,258 128 259 126 183
268479,969 759 3 922 502
268480,76 16 80 125 71
268481,156 289 400 533 666
268482,355 643 346 348 362
268483,17 502 36 522 400
268484,920 917 923 916 924
268485,802 805 848 536 442
268486,289 411 755 500 678
268487,384 518 476 482 460
268488,61 267 322 68 57
268489,1004 966 984 9 10
268490,371 960 373 768 955
268491,447 687 890 492 883
268492,222 156 116 77 245
268493,384 482 464 534 491
268494,277 517 891 594 906
268495,398 396 914 562 597
268496,192 196 170 165 175
268497,159 83 161 151 143
268498,183 95 83 185 158
268499,593 802 885 848 424
268500,539 805 114 116 1008
268501,76 71 245 893 1006
268502,383 315 373 295 296
268503,542 539 587 541 537
268504,51 64 42 61 68
268505,348 872 643 398 502
268506,743 466 485 384 746
268507,559 493 790 540 698
268508,371 765 373 290 282
268509,45 145 134 464 111
268510,249 247 107 214 217
268511,57 61 80 73 83
268512,753 442 502 743 536
268513,491 490 476 106 107
268514,214 249 217 220 137
268515,116 74 125 117 115
268516,984 1005 1004 978 1001
268517,51 39 42 30 520
268518,79 73 71 80 808
268519,86 95 93 222 101
268520,482 972 975 978 491
268521,856 872 656 397 632
268522,829 565 620 890 282
268523,890 492 909 427 547
268524,532 753 1005 301 984
268525,808 872 174 937 925
268526,86 84 94 99 93
268527,128 127 192 170 196
268528,262 255 257 259 254
268529,978 979 974 975 972
268530,1008 738 336 335 9
268531,112 117 108 107 106
268532,333 500 522 400 189
268533,447 398 917 687 883
268534,344 122 899 455 677
268535,278 267 322 156 189
268536,232 236 229 241 219
268537,17 800 38 109 872
268538,249 145 134 383 107
268539,277 362 269 906 857
268540,260 257 263 261 255
268541,840 137 848 857 260
268542,61 28 38 36 39
268543,357 436 840 668 557
268544,362 872 848 632 428
268545,199 197 213 198 207
268546,315 753 720 520 383
268547,962 325 1005 540 1004
268548,134 200 234 86 99
268549,668 634 1004 638 1005
268550,966 114 161 988 911
268551,755 722 333 655 766
268552,897 337 746 680 673
268553,533 522 400 411 378
268554,790 534 493 724 540
268555,502 36 769 39 38
268556,134 824 818 447 455
268557,134 111 45 245 222
268558,885 446 559 587 265
268559,755 256 167 222 178
268560,271 808 424 887 370
268561,277 685 686 593 594
268562,911 933 988 922 20
268563,95 92 178 234 222
268564,86 94 224 99 95
268565,887 540 420 493 827
268566,183 127 128 126 185
268567,95 183 83 180 101
268568,112 108 106 117 466
268569,230 216 247 236 217
268570,210 138 137 204 144
268571,1005 241 1004 984 229
268572,158 176 162 966 195
268573,522 966 322 533 988
268574,277 909 685 1006 594
268575,396 277 597 594 906
268576,61 57 80 83 73
268577,720 373 724 315 293
268578,685 686 517 891 396
268579,873 536 83 1006 470
268580,295 400 753 765 411
268581,893 685 686 768 897
268582,398 631 355 632 630
268583,138 144 143 159 148
268584,230 219 220 215 229
268585,159 57 143 161 64
268586,371 893 897 768 765
268587,802 769 593 960 492
268588,9 1008 11 1007 1006
268589,344 917 455 788 920
268590,673 428 680 350 872
268591,137 158 143 254 14
268592,188 168 162 176 163
268593,282 698 638 128 765
268594,1006 885 560 517 893
268595,61 57 80 159 83
268596,969 520 805 373 315
268597,344 122 899 677 788
268598,937 887 440 455 593
268599,17 20 933 922 955
268600,464 491 488 145 466
268601,129 128 127 126 183
268602,38 955 872 800 808
268603,484 335 466 790 746
268604,384 518 746 334 337
268605,470 466 738 673 746
268606,775 925 400 76 755
268607,227 236 217 220 215
268608,775 704 893 289 400
268609,247 220 243 217 241
268610,137 148 143 254 258
268611,848 840 269 906 904
268612,311 755 278 300 289
