id,predicted
268243,455
268244,254
268245,337
268246,580
268247,485
268248,311
268249,277
268250,301
268251,464
268252,541
268253,336
268254,1001
268255,50
268256,1001
268257,460
268258,1008
268259,1008
268260,95
268261,1006
268262,623
268263,775
268264,893
268265,482
268266,904
268267,247
268268,571
268269,557
268270,271
268271,39
268272,335
268273,1008
268274,1006
268275,666
268276,120
268277,724
268278,1006
268279,724
268280,138
268281,1008
268282,143
268283,196
268284,860
268285,558
268286,77
268287,557
268288,192
268289,1008
268290,753
268291,1008
268292,373
268293,417
268294,720
268295,541
268296,537
268297,541
268298,271
268299,925
268300,93
268301,1008
268302,890
268303,805
268304,255
268305,1006
268306,247
268307,384
268308,541
268309,491
268310,897
268311,1006
268312,107
268313,685
268314,827
268315,3
268316,897
268317,159
268318,247
268319,1006
268320,485
268321,775
268322,539
268323,766
268324,539
268325,173
268326,990
268327,897
268328,403
268329,565
268330,996
268331,229
268332,753
268333,717
268334,1008
268335,491
268336,196
268337,335
268338,362
268339,250
268340,112
268341,436
268342,102
268343,252
268344,84
268345,1006
268346,335
268347,357
268348,783
268349,775
268350,900
268351,541
268352,753
268353,491
268354,42
268355,383
268356,1006
268357,335
268358,666
268359,482
268360,720
268361,168
268362,198
268363,224
268364,1008
268365,134
268366,311
268367,532
268368,759
268369,929
268370,640
268371,753
268372,1008
268373,177
268374,920
268375,189
268376,1006
268377,371
268378,1008
268379,92
268380,1006
268381,990
268382,333
268383,239
268384,250
268385,885
268386,1006
268387,84
268388,1001
268389,724
268390,301
268391,485
268392,30
268393,229
268394,885
268395,815
268396,770
268397,1008
268398,93
268399,534
268400,370
268401,94
268402,750
268403,247
268404,990
268405,1006
268406,846
268407,500
268408,502
268409,848
268410,1001
268411,260
268412,724
268413,717
268414,1008
268415,1008
268416,485
268417,766
268418,183
268419,250
268420,271
268421,1006
268422,1006
268423,1008
268424,196
268425,533
268426,988
268427,533
268428,215
268429,937
268430,325
268431,301
268432,1004
268433,904
268434,759
268435,303
268436,493
268437,541
268438,482
268439,1008
268440,337
268441,247
268442,1008
268443,1008
268444,215
268445,446
268446,1008
268447,247
268448,129
268449,718
268450,978
268451,704
268452,260
268453,743
268454,1006
268455,427
268456,1008
268457,249
268458,227
268459,1006
268460,93
268461,492
268462,502
268463,373
268464,93
268465,384
268466,1
268467,30
268468,491
268469,485
268470,979
268471,759
268472,893
268473,885
268474,357
