id,predicted
268243,95
268244,255
268245,587
268246,464
268247,17
268248,57
268249,362
268250,805
268251,464
268252,336
268253,883
268254,933
268255,57
268256,162
268257,61
268258,84
268259,1004
268260,83
268261,619
268262,76
268263,753
268264,885
268265,638
268266,269
268267,216
268268,398
268269,872
268270,885
268271,36
268272,88
268273,73
268274,962
268275,14
268276,258
268277,39
268278,565
268279,827
268280,57
268281,398
268282,212
268283,176
268284,3
268285,397
268286,685
268287,840
268288,678
268289,136
268290,17
268291,937
268292,720
268293,840
268294,711
268295,922
268296,277
268297,289
268298,887
268299,277
268300,222
268301,593
268302,333
268303,962
268304,261
268305,673
268306,107
268307,720
268308,17
268309,488
268310,384
268311,260
268312,61
268313,824
268314,824
268315,57
268316,643
268317,1005
268318,206
268319,906
268320,400
268321,759
268322,118
268323,493
268324,447
268325,17
268326,159
268327,623
268328,597
268329,428
268330,975
268331,206
268332,162
268333,455
268334,464
268335,917
268336,180
268337,114
268338,904
268339,216
268340,249
268341,840
268342,117
268343,224
268344,161
268345,61
268346,668
268347,840
268348,559
268349,234
268350,906
268351,904
268352,315
268353,491
268354,51
268355,348
268356,17
268357,978
268358,234
268359,94
268360,724
268361,848
268362,144
268363,95
268364,560
268365,134
268366,755
268367,790
268368,400
268369,36
268370,398
268371,975
268372,753
268373,20
268374,917
268375,906
268376,17
268377,373
268378,38
268379,107
268380,517
268381,258
268382,117
268383,236
268384,250
268385,532
268386,61
268387,61
268388,532
268389,783
268390,464
268391,885
268392,57
268393,236
268394,428
268395,76
268396,805
268397,775
268398,10
268399,534
268400,587
268401,178
268402,411
268403,250
268404,990
268405,371
268406,277
268407,411
268408,808
268409,192
268410,990
268411,255
268412,293
268413,28
268414,885
268415,969
268416,128
268417,755
268418,158
268419,145
268420,61
268421,558
268422,315
268423,355
268424,180
268425,533
268426,988
268427,39
268428,447
268429,808
268430,17
268431,249
268432,1005
268433,906
268434,502
268435,51
268436,534
268437,51
268438,978
268439,885
268440,541
268441,220
268442,1008
268443,1008
268444,1008
268445,962
268446,520
268447,250
268448,20
268449,540
268450,753
268451,400
268452,262
268453,502
268454,666
268455,64
268456,720
268457,580
268458,80
268459,277
268460,84
268461,531
268462,536
268463,643
268464,145
268465,559
268466,801
268467,557
268468,466
268469,378
268470,536
268471,470
268472,883
268473,883
268474,906
268475,269
268476,893
268477,348
268478,258
268479,969
268480,76
268481,156
268482,355
268483,17
268484,920
268485,802
268486,289
268487,384
268488,61
268489,1004
268490,371
268491,447
268492,222
268493,384
268494,277
268495,398
268496,192
268497,159
268498,183
268499,593
268500,539
268501,76
268502,383
268503,542
268504,51
268505,348
268506,743
268507,559
268508,371
268509,45
268510,249
268511,57
268512,753
268513,491
268514,214
268515,116
268516,984
268517,51
268518,79
268519,86
268520,482
268521,856
268522,829
268523,890
268524,532
268525,808
268526,86
268527,128
268528,262
268529,978
268530,1008
268531,112
268532,333
268533,447
268534,344
268535,278
268536,232
268537,17
268538,249
268539,277
268540,260
268541,840
268542,61
268543,357
268544,362
268545,199
268546,315
268547,962
268548,134
268549,668
268550,966
268551,755
268552,897
268553,533
268554,790
268555,502
268556,134
268557,134
268558,885
268559,755
268560,271
268561,277
268562,911
268563,95
268564,86
268565,887
268566,183
268567,95
268568,112
268569,230
268570,210
268571,1005
268572,158
268573,522
268574,277
268575,396
268576,61
268577,720
268578,685
268579,873
268580,295
268581,893
268582,398
268583,138
268584,230
268585,159
268586,371
268587,802
268588,9
268589,344
268590,673
268591,137
268592,188
268593,282
268594,1006
268595,61
268596,969
268597,344
268598,937
268599,17
268600,464
268601,129
268602,38
268603,484
268604,384
268605,470
268606,775
268607,227
268608,775
268609,247
268610,137
268611,848
268612,311
268613,694
268614,61
268615,824
268616,112
268617,262
268618,282
268619,746
268620,76
268621,893
268622,972
268623,482
268624,925
268625,134
268626,370
268627,76
268628,277
268629,883
268630,61
268631,446
268632,45
268633,765
268634,383
268635,685
268636,800
268637,464
268638,490
268639,17
268640,1004
268641,95
268642,492
268643,277
268644,962
268645,532
268646,848
268647,337
268648,493
268649,975
268650,277
268651,632
268652,906
268653,933
268654,234
268655,127
268656,464
268657,185
